Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 34 °C, Humidity = 79 %, Pressure = 1027 hPa
Temp = 27 °C, Humidity = 79 %, Pressure = 914 hPa
Temp = 41 °C, Humidity = 63 %, Pressure = 914 hPa
Temp = 37 °C, Humidity = 63 %, Pressure = 914 hPa
Temp = 16 °C, Humidity = 51 %, Pressure = 989 hPa
Temp = 23 °C, Humidity = 51 %, Pressure = 989 hPa
Temp = 16 °C, Humidity = 30 %, Pressure = 989 hPa
Temp = 40 °C, Humidity = 30 %, Pressure = 1018 hPa
Temp = 44 °C, Humidity = 58 %, Pressure = 1018 hPa
Temp = 15 °C, Humidity = 58 %, Pressure = 1018 hPa
Temp = 17 °C, Humidity = 49 %, Pressure = 1083 hPa
Temp = 30 °C, Humidity = 49 %, Pressure = 1083 hPa
Temp = 44 °C, Humidity = 97 %, Pressure = 1083 hPa
Temp = 15 °C, Humidity = 97 %, Pressure = 1024 hPa
Temp = 44 °C, Humidity = 55 %, Pressure = 1024 hPa
Temp = 25 °C, Humidity = 55 %, Pressure = 1024 hPa
Temp = 38 °C, Humidity = 82 %, Pressure = 913 hPa
Temp = 16 °C, Humidity = 82 %, Pressure = 913 hPa
Temp = 31 °C, Humidity = 78 %, Pressure = 913 hPa
Temp = 33 °C, Humidity = 78 %, Pressure = 913 hPa
Temp = 23 °C, Humidity = 96 %, Pressure = 913 hPa
Temp = 19 °C, Humidity = 96 %, Pressure = 913 hPa
Temp = 32 °C, Humidity = 23 %, Pressure = 921 hPa
Temp = 29 °C, Humidity = 23 %, Pressure = 921 hPa
Temp = 27 °C, Humidity = 26 %, Pressure = 921 hPa
Temp = 33 °C, Humidity = 26 %, Pressure = 947 hPa
Temp = 32 °C, Humidity = 25 %, Pressure = 947 hPa
Temp = 43 °C, Humidity = 25 %, Pressure = 947 hPa
Temp = 40 °C, Humidity = 25 %, Pressure = 1082 hPa
Temp = 27 °C, Humidity = 25 %, Pressure = 1082 hPa
Temp = 34 °C, Humidity = 75 %, Pressure = 1082 hPa
Temp = 24 °C, Humidity = 75 %, Pressure = 1015 hPa
Temp = 20 °C, Humidity = 88 %, Pressure = 1015 hPa
Temp = 43 °C, Humidity = 88 %, Pressure = 1015 hPa
Temp = 23 °C, Humidity = 62 %, Pressure = 971 hPa
Temp = 16 °C, Humidity = 62 %, Pressure = 971 hPa
Temp = 38 °C, Humidity = 33 %, Pressure = 971 hPa
Temp = 44 °C, Humidity = 33 %, Pressure = 981 hPa
Temp = 29 °C, Humidity = 49 %, Pressure = 981 hPa
Temp = 26 °C, Humidity = 49 %, Pressure = 981 hPa
Temp = 17 °C, Humidity = 67 %, Pressure = 995 hPa
Temp = 24 °C, Humidity = 67 %, Pressure = 995 hPa
Temp = 19 °C, Humidity = 27 %, Pressure = 995 hPa
Temp = 27 °C, Humidity = 27 %, Pressure = 959 hPa
Temp = 36 °C, Humidity = 40 %, Pressure = 959 hPa
Temp = 33 °C, Humidity = 40 %, Pressure = 959 hPa
Temp = 22 °C, Humidity = 42 %, Pressure = 1021 hPa
Temp = 21 °C, Humidity = 42 %, Pressure = 1021 hPa
Temp = 39 °C, Humidity = 86 %, Pressure = 1021 hPa
Temp = 20 °C, Humidity = 86 %, Pressure = 1070 hPa
Temp = 27 °C, Humidity = 52 %, Pressure = 1070 hPa
Temp = 31 °C, Humidity = 52 %, Pressure = 1070 hPa
Temp = 35 °C, Humidity = 83 %, Pressure = 905 hPa
Temp = 26 °C, Humidity = 83 %, Pressure = 905 hPa
Temp = 36 °C, Humidity = 75 %, Pressure = 905 hPa
Temp = 26 °C, Humidity = 75 %, Pressure = 1011 hPa
Temp = 43 °C, Humidity = 44 %, Pressure = 1011 hPa
Temp = 36 °C, Humidity = 44 %, Pressure = 1011 hPa
Temp = 42 °C, Humidity = 75 %, Pressure = 1049 hPa
Temp = 45 °C, Humidity = 75 %, Pressure = 1049 hPa
Temp = 35 °C, Humidity = 47 %, Pressure = 1049 hPa
Temp = 33 °C, Humidity = 47 %, Pressure = 1037 hPa
Temp = 25 °C, Humidity = 29 %, Pressure = 1037 hPa
Temp = 41 °C, Humidity = 29 %, Pressure = 1037 hPa
Temp = 17 °C, Humidity = 65 %, Pressure = 978 hPa
Temp = 21 °C, Humidity = 65 %, Pressure = 978 hPa
Temp = 35 °C, Humidity = 98 %, Pressure = 978 hPa
